,Metabolite,p_value,Ex,adj_p,reject
432,gammaglutamylhistidine,0.7586756763888285,R,0.803797466270875,False
433,anthranilate,0.48640106540687233,R,0.6421937881914798,False
434,cinnamate,0.9827951353331322,R,0.9237068388529808,False
435,HHTrE,0.6809975235683496,R,0.7581568636441738,False
436,thromboxaneB,0.607981775711999,R,0.7254112775629147,False
437,nicotinamideribonucleotideNMN,0.20943154692207758,R,0.4071689465540899,False
438,Npalmitoylsphingosined,0.9855848397128497,R,0.9251936117892683,False
439,palmitoyloleoylGPE,0.340579107375911,R,0.528104445850097,False
440,Nstearoylsphingosined,0.8461674859065413,R,0.861920603995227,False
441,taurochenodeoxycholate,0.34052581713051777,R,0.528104445850097,False
442,taurocholate,0.5900166349210179,R,0.7173853053166662,False
443,taurodeoxycholate,0.27824092633452996,R,0.4749191136588504,False
444,hydroxyhippuratesalicylurate,0.9051466690333455,R,0.8885195787309077,False
445,azelateCDC,0.9812625571482316,R,0.9234517663919499,False
446,methylsuccinate,0.14485537816936045,R,0.3420615186487661,False
447,tricarballylate,0.011646597675297934,R,0.11489248356451617,False
448,ethylmalonate,0.20858390789502113,R,0.4065528586452575,False
449,phenylpropionatehydrocinnamate,0.6685150822920126,R,0.7518150315768743,False
450,hippurate,0.41008747468930584,R,0.5815557314381473,False
451,xanthurenate,0.638606903969705,R,0.741064005402948,False
452,suberateCDC,0.07097150817047156,R,0.242231692325172,False
453,methyloxovalerate,0.5603156560296361,R,0.6911462037338184,False
454,methioninesulfoxide,0.5243082705449151,R,0.6738592873110822,False
455,anserine,0.06885108648177303,R,0.2398381123909224,False
456,ketogulonate,0.10549338296509733,R,0.293020020168109,False
457,guanidinobutanoate,0.32222544966169064,R,0.5095109333922748,False
458,creatinephosphate,0.16594480151444957,R,0.36053041672512337,False
459,deoxycytidine,0.9309403900259614,R,0.9003792156059172,False
460,FMN,0.7933943428411192,R,0.8257337861634474,False
461,imidazolelactate,0.24081025495377112,R,0.4391920364156873,False
462,kynurenine,0.6294719756310317,R,0.7384005104645793,False
463,allothreonine,0.630719631093019,R,0.7387327789254627,False
464,Nalphaacetylornithine,0.020812423648048417,R,0.1386288392556964,False
465,isopropylmalate,0.06028363373941354,R,0.22166122633272436,False
466,quinate,0.0006810898003188501,R,0.047939900384975496,True
467,mesaconatemethylfumarate,0.0686431072036112,R,0.2398381123909224,False
468,aminovalerate,0.6199618368501416,R,0.7313165964130318,False
469,itaconate,0.0006489551549261923,R,0.047939900384975496,True
470,indolelactate,0.2934741410167404,R,0.48658266670740946,False
471,indoxylsulfate,0.9677724214326601,R,0.9229734811203408,False
472,glycylvaline,0.8532915902011737,R,0.8645785159974855,False
473,methyloxopentanoate,0.6205689134053143,R,0.7313165964130318,False
474,anhydroglucitolAG,0.8733042476669878,R,0.8744458218469446,False
475,arachidonoylglycerol,0.02502948747690773,R,0.14524687429781305,False
476,myristoylpalmitoylGPC,0.4107332254674121,R,0.5815557314381473,False
477,maleate,0.5068875804214038,R,0.6565139436599465,False
478,acetylphenylsulfate,0.9308137135329726,R,0.9003792156059172,False
479,methylcytidine,0.03035156911753572,R,0.1582449575790281,False
480,mevalonolactone,0.5026747554749535,R,0.6539570148357374,False
481,phenyllactatePLA,0.8768635672959857,R,0.874890786689663,False
482,palmitoylcarnitineC,0.015282769352504564,R,0.12013046344263348,False
483,hexanoylcarnitineC,0.014877015981235694,R,0.11901092737690537,False
484,NacetylaspartateNAA,0.35704550906838106,R,0.542690169969826,False
485,indoleacrylate,0.4043739927808644,R,0.5789728569535367,False
486,cysteinessulfate,0.2487120622284894,R,0.44721464710568753,False
487,erythritol,0.0961254355518477,R,0.2799698997441648,False
488,hydroxymyristate,0.12283582218214399,R,0.31680888818694375,False
489,methyloxobutyrate,0.5365931147719428,R,0.6827746277662927,False
490,homoarginine,0.3866815548322744,R,0.564237592458557,False
491,betasitosterol,0.25282427501799537,R,0.4517516549441467,False
492,indoleacetate,0.5554070384417973,R,0.6882831741169355,False
493,butyrylcarnitineC,0.11872696224798474,R,0.3114549763080696,False
494,isobutyrylcarnitineC,0.5524439333513524,R,0.6877956774054688,False
495,ketodeoxycholate,0.13660185240698108,R,0.33564519489729133,False
496,betamuricholate,0.14557709540404407,R,0.3420615186487661,False
497,pyrrolidinone,0.5467485873877365,R,0.6867293500966611,False
498,trigonellineNmethylnicotinate,0.517727429100891,R,0.6676417688405429,False
499,dodecanedioateC,0.19052380779671677,R,0.38917663139276015,False
500,Nacetyltyrosine,0.7946639992543556,R,0.8259330032955718,False
501,hydroxysuberate,0.009748987428450364,R,0.10517921648159126,False
502,methylcrotonylglycine,0.17196570727435337,R,0.3648912237455808,False
503,butyrylglycineC,0.06095304059664473,R,0.2223334718906184,False
504,methylbutyrylglycineC,0.03583098308262939,R,0.16991920589726456,False
505,hydroxyethylpropionate,0.002158903544881261,R,0.05423748796817493,True
506,undecenoaten,0.0036861550008380887,R,0.0672284459676661,True
507,methylhistamine,0.3973605279242681,R,0.5741225576027614,False
508,imidazoleacetate,0.09156857861473117,R,0.2701768471122619,False
509,sebacateCDC,0.5628949356393149,R,0.6927921132520924,False
510,guanidinosuccinate,0.026163852539210563,R,0.1473640518017301,False
511,daidzein,0.019317664254633528,R,0.1320600778801282,False
512,genistein,0.028689233285956472,R,0.15458419980239874,False
513,stearidonaten,0.07178406548017498,R,0.242231692325172,False
514,dodecenoaten,0.4976774797013409,R,0.6494394368845438,False
515,octanoylcarnitineC,0.0018813783139525503,R,0.05146913530313049,True
