,Metabolite,p_value,AIC,VS,VS_SDev,HS,HS_SDev,VR,VR_SDev,HR,HR_SDev
33,methyloxobutyrate,0.24566761042882396,69.53916285496379,-0.2260157157024211,0.17345176949348212,-0.7081336350265857,0.15831021993061492,0.48772003415182147,0.2546417505986209,0.44642931657718427,0.36567528848596226
34,butyrylcarnitineC,0.185677225705496,68.02106930656481,-0.7341186258006912,0.19566297584318096,-0.12068840557771927,0.17858248911768265,0.05289070923845693,0.30028249381939576,0.8019163221399556,0.21827234824501046
35,isobutyrylcarnitineC,0.07486779679650508,66.87890090437313,-0.7492374308810424,0.12760852645645054,-0.3919834495904532,0.11646888323674043,0.41087729344453633,0.20057985735010264,0.7303435870269603,0.15163902541554714
36,methylcrotonylglycine,0.2804514824880443,48.939457807291845,-1.0343029511113293,0.0047473513490808045,-0.5032281579634424,0.004332929196142474,0.39954690771118945,0.05646549340173257,1.1379842013635821,0.19982745739503452
37,propionylglycineC,0.00037911050848075814,53.98597520492622,-1.1683564705417935,0.0755825791988967,-0.10741565799584109,0.06898456424424138,0.3492888889669959,0.14196937637305546,0.9264832395706423,0.4292100262422786
38,butyrylglycineC,0.1453248775956709,64.30231220424379,-0.9672184657197661,0.10949470394338294,-0.0291695550620315,0.09993631493719578,0.14884926625842587,0.16057263549928386,0.8475387545233718,0.19951507652171388
39,methylbutyrylglycineC,0.049066747736333995,68.56508551196242,-0.7869056141765872,0.17117875168358604,0.1857329443053337,0.15623562622400894,-0.11528292021683961,0.26090168865895086,0.7164555900880946,0.1917864734786337
40,propionylcarnitineC,0.03828458661616686,70.59769022827498,-0.4045415305225526,0.2892268773839087,0.362961498565421,0.2639786881517641,-0.4189626970900355,0.4519639306041087,0.4605427290471698,0.33566248114364844
41,hydroxyethylpropionate,0.044214167428007586,65.6272552444559,-0.6594490310777826,0.11216222147247731,0.5055420494129409,0.10237097033409889,-0.5648783326341373,0.19611282244333336,0.7187853142989807,0.23145522721999484
42,Nacetylisoleucine,0.4227029708873369,71.50499479215756,-0.595556491289872,0.0709123141213973,-0.25905506304406073,0.06472199203922858,0.18629417433548112,0.13598695796425467,0.6683173799984524,0.20779546265375504
