,Metabolite,p_value,Ex,adj_p,reject
266,pentadecanoyllinoleoylGPC,0.11836051184708853,R,0.45812401965701394,False
267,pentadecanoyllinoleoylGPC,0.34419959255488497,S,0.6525319515162993,False
268,margaroyloleoylGPC,0.10110939115296097,R,0.421556865218162,False
269,margaroyloleoylGPC,0.9265575578065008,S,0.9664166191561745,False
270,palmitoyloleoylGPI,0.09727125494749979,R,0.4180536337279871,False
271,palmitoyloleoylGPI,0.7754062603486966,S,0.9142757367810042,False
272,palmitoleoyllinoleoylGPC,0.5072984589608732,R,0.7599997196385745,False
273,palmitoleoyllinoleoylGPC,0.7671528276625523,S,0.9112685936839253,False
274,margaroylarachidonoylGPC,0.28737926777666256,R,0.607369528505727,False
275,margaroylarachidonoylGPC,0.5223935338531049,S,0.7684001341924394,False
276,linoleoylarachidonoylGPCn,0.016621991914301883,R,0.20111247034201965,False
277,linoleoylarachidonoylGPCn,0.6668093432189666,S,0.8536806036025535,False
278,myristoylarachidonoylGPC,0.3623815423172906,R,0.678320684806914,False
279,myristoylarachidonoylGPC,0.38930065537273095,S,0.6939960856107449,False
280,enylpalmitoylpalmitoleoylGPCP,0.289335146655573,R,0.607369528505727,False
281,enylpalmitoylpalmitoleoylGPCP,0.867966295280348,S,0.9524048696152252,False
282,enylpalmitoylpalmitoylGPCP,0.7489703738686299,R,0.904170288360616,False
283,enylpalmitoylpalmitoylGPCP,0.9355310978561833,S,0.9672253417912285,False
284,stearoyldihomolinolenoylGPInor,0.16825759053667816,R,0.4932662784303628,False
285,stearoyldihomolinolenoylGPInor,0.8591147352394872,S,0.9518198785287328,False
286,oleoylarachidonoylGPE,0.3389899364955331,R,0.6525319515162993,False
287,oleoylarachidonoylGPE,0.6286129192337957,S,0.8361083126253582,False
